wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33587982719740062 47.67420788449955893),1510,yes,natural_monument,71073,PL.ZIPOP.1393.PP.1216013.2140,rock,Diable boisko,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216013.2140
Point (12.33587911221581379 47.67420793847603022),1516,yes,natural_monument,71081,PL.ZIPOP.1393.PP.1216013.2224,rock,Wieprzek,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216013.2224
Point (12.33587901905833384 47.67420778503829126),1515,yes,natural_monument,71082,PL.ZIPOP.1393.PP.1216013.2235,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216013.2235
Point (12.33587878805004578 47.67420460768242663),213,yes,natural_monument,205425,PL.ZIPOP.1393.PP.1210133.2926,rock,skałki piaskowcowe na Pustej Wielkiej II,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.2926
Point (12.33587885365911241 47.67420460245588032),214,yes,natural_monument,205424,PL.ZIPOP.1393.PP.1210133.2925,rock,skałki piaskowcowe na Pustej Wielkiej I,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.2925
Point (12.33587473615822105 47.674208349738457),205,yes,natural_monument,203747,PL.ZIPOP.1393.PP.1201042.2921,rock,Skałka piaskowcowa,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1201042.2921
Point (12.33586241452664112 47.67421285271530706),765,yes,natural_monument,70576,PL.ZIPOP.1393.PP.1212073.1916,rock,Skała Jama (Zegar),brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212073.1916
Point (12.3358624370488652 47.67421284266793435),766,yes,natural_monument,70575,PL.ZIPOP.1393.PP.1212073.1915,rock,Skała Zegarowa,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212073.1915
Point (12.33586248546789932 47.67421285848568147),763,yes,natural_monument,70574,PL.ZIPOP.1393.PP.1212073.1914,rock,Zamczysko,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212073.1914
Point (12.33586119432682082 47.67421169282525284),917,yes,natural_monument,70471,PL.ZIPOP.1393.PP.1212053.1862,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1862
