wkt_geom;fid;protected;denotation;ref:gid;ref:INSPIRE;natural;name;species:pl;species;url:crfop
Point (12.33587619463395413 47.67420785038233788);4302;yes;natural_monument;69954;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.3358761989547272 47.67420784626881414);4303;yes;natural_monument;69957;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619232783794 47.67420785649821369);4296;yes;natural_monument;69948;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619400940838 47.67420785333121813);4297;yes;natural_monument;69951;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619344185704 47.67420785417449025);4298;yes;natural_monument;69950;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619252420176 47.67420785172204489);4299;yes;natural_monument;69953;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.3358788504144119 47.67420402093445375);4340;yes;natural_monument;69992;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
Point (12.33587961852400383 47.67420411286463633);4341;yes;natural_monument;69995;PL.ZIPOP.1393.PP.1210113.1349;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1349
Point (12.33587962060448184 47.67420411238840927);4342;yes;natural_monument;69994;PL.ZIPOP.1393.PP.1210113.1349;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1349
Point (12.33587979731545303 47.6742041202906961);4343;yes;natural_monument;69997;PL.ZIPOP.1393.PP.1210113.1350;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1350
Point (12.33587885572046083 47.67420402232347243);4336;yes;natural_monument;69988;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
Point (12.33587885134805084 47.67420402078307262);4337;yes;natural_monument;69991;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
Point (12.33587885354597269 47.67420402114188249);4338;yes;natural_monument;69990;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
Point (12.33587988692366544 47.6742042389918339);4339;yes;natural_monument;69993;PL.ZIPOP.1393.PP.1210113.1347;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1347
Point (12.33587979979092708 47.67420412191038537);4348;yes;natural_monument;70000;PL.ZIPOP.1393.PP.1210113.1350;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1350
Point (12.33587989928210149 47.67420423985467437);4349;yes;natural_monument;70003;PL.ZIPOP.1393.PP.1210113.1353;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1353
Point (12.33587989647851479 47.67420424136609824);4350;yes;natural_monument;70002;PL.ZIPOP.1393.PP.1210113.1353;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1353
Point (12.33587990303216486 47.67420424003231005);4351;yes;natural_monument;70005;PL.ZIPOP.1393.PP.1210113.1353;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1353
Point (12.33587961707736724 47.67420411320572526);4344;yes;natural_monument;69996;PL.ZIPOP.1393.PP.1210113.1349;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1349
Point (12.3358797983996844 47.67420412149753872);4345;yes;natural_monument;69999;PL.ZIPOP.1393.PP.1210113.1350;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1350
Point (12.33587979721825612 47.67420411850974205);4346;yes;natural_monument;69998;PL.ZIPOP.1393.PP.1210113.1350;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1350
Point (12.33587979478114782 47.67420412043245648);4347;yes;natural_monument;70001;PL.ZIPOP.1393.PP.1210113.1350;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1350
Point (12.33588042915628158 47.67420373569538583);4324;yes;natural_monument;69976;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33588042619412839 47.67420373663749444);4325;yes;natural_monument;69979;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33588042742902324 47.67420373660321786);4326;yes;natural_monument;69978;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33588042571089183 47.67420373798408662);4327;yes;natural_monument;69981;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33587619653143896 47.67420786181602921);4320;yes;natural_monument;69972;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33588042717654787 47.67420373537019884);4321;yes;natural_monument;69975;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33588042420397102 47.67420373551630064);4322;yes;natural_monument;69974;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33588042980470512 47.67420373578491422);4323;yes;natural_monument;69977;PL.ZIPOP.1393.PP.1210113.1343;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1343
Point (12.33588033748693213 47.67420370866404511);4332;yes;natural_monument;69984;PL.ZIPOP.1393.PP.1210113.1345;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1345
Point (12.3358788528395209 47.67420402176701799);4333;yes;natural_monument;69987;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
Point (12.33587885512948823 47.67420402166728621);4334;yes;natural_monument;69986;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
Point (12.3358788540694011 47.67420402129386758);4335;yes;natural_monument;69989;PL.ZIPOP.1393.PP.1210113.1346;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1346
